text,subject
"network security firewall intrusion detection VPN tunneling protocol SSL TLS",Computer Networks
"wireless network WiFi IEEE 802.11 frequency band channel access point SSID",Computer Networks
"routing protocols OSPF BGP RIP distance vector link state routing table update",Computer Networks
"network layer IP datagram fragmentation TTL checksum forwarding routing",Computer Networks
"transport layer TCP segment UDP datagram port number multiplexing demultiplexing",Computer Networks
"application layer DNS HTTP FTP SMTP POP3 IMAP email web browser client server",Computer Networks
"error detection correction CRC checksum parity bit Hamming code data link layer",Computer Networks
"flow control sliding window stop and wait go back N selective repeat",Computer Networks
"network address translation NAT port forwarding private public IP subnet",Computer Networks
"HTML CSS web page document object model selector style element tag attribute",Web Development
"JavaScript DOM manipulation event listener function variable array object async await",Web Development
"React component props state hooks useState useEffect JSX virtual DOM lifecycle",Web Development
"Node.js Express REST API route middleware request response JSON server backend",Web Development
"MongoDB database CRUD operations schema model query aggregation pipeline",Web Development
"responsive design flexbox grid media query viewport mobile first layout CSS",Web Development
"web security XSS CSRF SQL injection authentication authorization JWT token",Web Development
"HTTP methods GET POST PUT DELETE PATCH RESTful API status codes headers",Web Development
"package manager npm yarn webpack babel transpiler bundler module import export",Web Development
"version control Git commit branch merge pull request repository GitHub GitLab",Web Development
"deployment Docker container CI/CD pipeline cloud AWS Azure Heroku environment",Web Development
"frontend backend full stack MERN MEAN architecture client server communication",Web Development
"calculus derivative integral differentiation integration limit continuity chain rule",Mathematics
"linear algebra matrix vector eigenvalue eigenvector determinant rank transpose inverse",Mathematics
"probability statistics random variable distribution mean variance standard deviation",Mathematics
"discrete mathematics sets relations functions logic proposition predicate proof induction",Mathematics
"graph theory vertex edge degree path cycle Euler Hamiltonian planar coloring",Mathematics
"differential equations ordinary partial initial boundary value homogeneous particular",Mathematics
"number theory modular arithmetic prime factorization GCD LCM Euler Fermat theorem",Mathematics
"combinatorics permutation combination binomial theorem pigeonhole principle inclusion",Mathematics
"complex numbers real imaginary polar form Euler formula De Moivre theorem",Mathematics
"Fourier series transform frequency domain signal periodic function convergence",Mathematics
"numerical methods Newton Raphson bisection Gaussian elimination interpolation error",Mathematics
"set theory union intersection complement subset power set Venn diagram",Mathematics
"compiler design lexical analysis syntax parsing grammar token finite automaton",Computer Science
"theory computation automata finite state machine regular expression context free",Computer Science
"computer architecture ALU control unit memory cache pipeline RISC CISC instruction",Computer Science
"digital logic gates flip flop register combinational sequential circuit Boolean algebra",Computer Science
"information theory entropy Huffman coding channel capacity Shannon theorem coding",Computer Science
"computer graphics rendering pipeline rasterization ray tracing shader GPU OpenGL",Computer Science
"software engineering SDLC waterfall agile scrum sprint requirements design testing",Software Engineering
"design patterns singleton factory observer strategy MVC architecture SOLID principles",Software Engineering
"testing unit integration system acceptance regression test case coverage assertion",Software Engineering
"code review refactoring clean code technical debt documentation maintainability",Software Engineering
"project management estimation planning risk analysis resource allocation timeline",Software Engineering
"microservices architecture API gateway service discovery load balancing fault tolerance",Software Engineering
